"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @SpecialReport: President-elect @realdonaldtrump has selected Alabama Senator Jeff Sessions to serve as Attorney General and... https://…",FALSE,0,NA,2016-11-18 19:23:05,FALSE,NA,"799694434917122054",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","russ8979",18,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:05,FALSE,NA,"799694434145181696",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SharonSmith22",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:23:04,FALSE,NA,"799694429745397760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Vicjhernandez21",42566,TRUE,FALSE,NA,NA
"So almost every cabinet pick by @realDonaldTrump is anti-gay, where is all that love and protection go? #Election2016 #StrongerTogether",FALSE,0,NA,2016-11-18 19:23:04,FALSE,NA,"799694429095428096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nomnomboris",0,FALSE,FALSE,NA,NA
"@realDonaldTrump Criminals who committed 911 are all rushing to join a Trump Administration &amp; Trump seem to be Considering letting them In",FALSE,0,"realDonaldTrump",2016-11-18 19:23:03,FALSE,NA,"799694426570452992","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shandclub",0,FALSE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:02,FALSE,NA,"799694423206612992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mdlandeene",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:23:01,FALSE,NA,"799694419075223553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","double00marc",42566,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:23:01,FALSE,NA,"799694417019817984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","76frenchtoast",42566,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:23:01,FALSE,NA,"799694416910786561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SusanSzollosi",42566,TRUE,FALSE,NA,NA
"RT @IngrahamAngle: @realDonaldTrump selected @SenatorSessions of AL to be AG. Here are his best moments from over the years. https://t.co/K…",FALSE,0,NA,2016-11-18 19:22:59,FALSE,NA,"799694411059691520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xrey1",269,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I am not trying to get ""top level security clearance"" for my children. This was a typically false news story.",FALSE,0,NA,2016-11-18 19:22:57,FALSE,NA,"799694403098902528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","molasseszip",30750,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:22:56,FALSE,NA,"799694398975938560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ujjalnathh",5724,TRUE,FALSE,NA,NA
"RT @amnesty: No @realdonaldtrump we’ve seen horrific conditions for refugees in #Australia &amp; we won’t let politics get in the way https://t…",FALSE,0,NA,2016-11-18 19:22:56,FALSE,NA,"799694398032183296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmnestyCapHill",55,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: All I can say is that if I were President, Snowden would have already been returned to the U.S. (by their fastest jet)…",FALSE,0,NA,2016-11-18 19:22:56,FALSE,NA,"799694396602060804",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nystweets",4710,TRUE,FALSE,NA,NA
"RT @Cliff_Sims: .@tedcruz on @realDonaldTrump nominating @SenatorSessions for AG: ""GREAT news for all of us who revere the Constitution and…",FALSE,0,NA,2016-11-18 19:22:55,FALSE,NA,"799694394383364100",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Amusetales",189,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: The failing @nytimes story is so totally wrong on transition. It is going so smoothly. Also, I have spoken to many for…",FALSE,0,NA,2016-11-18 19:22:55,FALSE,NA,"799694393489948672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nwabiafran",20271,TRUE,FALSE,NA,NA
"RT @LouDobbs: Intelligent Leadership Makes All the Difference...@realDonaldTrump and Bill Ford Putting #AmericaFirst. #MAGA #TrumpTrain #Do…",FALSE,0,NA,2016-11-18 19:22:55,FALSE,NA,"799694393108070400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cryogenik28",338,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:22:54,FALSE,NA,"799694388855181313",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Anna47267977",42570,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:22:53,FALSE,NA,"799694386451750912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wvufanagent99",5724,TRUE,FALSE,NA,NA
