text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,score
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:42,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Amb0306,14,TRUE,FALSE,NA,NA,0
Wait. @realDonaldTrump is speaking to foreign leaders on non-secure phone lines? On his private phone lines? Is that normal? Ok? Experts?,FALSE,1,NA,11/18/2016 1:41,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DelWilber,0,FALSE,FALSE,NA,NA,1
@IngrahamAngle @YahooTV @realDonaldTrump It's a trap.,FALSE,1,IngrahamAngle,11/18/2016 1:41,FALSE,7.99427E+17,7.99427E+17,50769180,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PhillipCMcGuire,0,FALSE,FALSE,NA,NA,-1
RT @politico: .@realDonaldTrump is trying to steady the rocky transition https://t.co/CgqL5qpPEA | Getty https://t.co/gNp2gykTYc,FALSE,0,NA,11/18/2016 1:41,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",unlewis,7,TRUE,FALSE,NA,NA,0
RT @andrewg4us: @realDonaldTrump sorry but no. You will be #GOP nominee but not POTUS,FALSE,0,NA,11/18/2016 1:41,FALSE,NA,7.99427E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",ReactionaryWASP,11,TRUE,FALSE,NA,NA,-4
RT @KatrinaPierson: Me when someone still tries to debate about @realDonaldTrump policies. #MAGA https://t.co/zZKnb4JLkD,FALSE,0,NA,11/18/2016 1:41,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",US,1618,TRUE,FALSE,NA,NA,0
Big Bear Hug for #asbestos from @realDonaldTrump while it continues to cause 15K deaths annually in US: https://t.co/L3a20qoB6s,FALSE,0,NA,11/18/2016 1:40,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AlexFormuzis,0,FALSE,FALSE,NA,NA,2
RT @politico: .@realDonaldTrump is trying to steady the rocky transition https://t.co/CgqL5qpPEA | Getty https://t.co/gNp2gykTYc,FALSE,0,NA,11/18/2016 1:40,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DrIanInc,7,TRUE,FALSE,NA,NA,0
@IngrahamAngle @YahooTV @realDonaldTrump He's smart too bad he ended up a Liberal,FALSE,1,IngrahamAngle,11/18/2016 1:40,FALSE,7.99427E+17,7.99427E+17,50769180,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",VileStyle,0,FALSE,FALSE,NA,NA,0
"RT @DavidCornDC: According to professional factcheckers, @realDonaldTrump told far more lies during the campaign than most pols. Do Not Nor…",FALSE,0,NA,11/18/2016 1:40,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",marioradio,889,TRUE,FALSE,NA,NA,-2
"RT @PT_US_Congress: Spoke w/ @KATUNews about how @realDonaldTrump must change course, reject hate strategies &amp; #AbandonBannon. https://t.co…",FALSE,0,NA,11/18/2016 1:40,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jambie61,1,TRUE,FALSE,NA,NA,-2
"RT @DavidCornDC: According to professional factcheckers, @realDonaldTrump told far more lies during the campaign than most pols. Do Not Nor…",FALSE,0,NA,11/18/2016 1:39,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Speakupnow00,889,TRUE,FALSE,NA,NA,-2
"Carson 2 private sector...u buying that?#DC
@dxlynnd @Jeannielouise64 @Steve4721076 @realDonaldTrump @transition2017 https://t.co/bXDjuaebe6",FALSE,3,NetworksManager,11/18/2016 1:39,FALSE,7.99427E+17,7.99427E+17,115681686,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NetworksManager,1,FALSE,FALSE,NA,NA,0
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:39,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kenm77,14,TRUE,FALSE,NA,NA,0
"RT @KailiJoy: Let's remind @realDonaldTrump of this every single day for the next four years, yeah? https://t.co/JQ8WNImrvm",FALSE,0,NA,11/18/2016 1:39,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tlivingston322,172,TRUE,FALSE,NA,NA,0
.@realDonaldTrump is trying to steady the rocky transition https://t.co/CgqL5qpPEA | Getty https://t.co/gNp2gykTYc,FALSE,11,NA,11/18/2016 1:39,FALSE,NA,7.99427E+17,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",politico,7,FALSE,FALSE,NA,NA,0
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:38,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cgubash,14,TRUE,FALSE,NA,NA,0
"Anyone that needs to pass sniff test passes
@dxlynnd @Jeannielouise64 @Steve4721076 @realDonaldTrump @transition2017 https://t.co/bXDjuaebe6",FALSE,5,dxlynnd,11/18/2016 1:38,FALSE,7.99425E+17,7.99427E+17,7.56931E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NetworksManager,1,FALSE,FALSE,NA,NA,0
"RT @SenatorBaldwin: My letter to @realDonaldTrump: Let's close the revolving door &amp; make Washington work for Wisconsin, not Wall Street. ht…",FALSE,0,NA,11/18/2016 1:38,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kjeanu1975,61,TRUE,FALSE,NA,NA,0
"@FoxNewsInsider @TuckerCarlson @realDonaldTrump Really hold your guest feet to the fire when they try to BS answer
https://t.co/0aIQWCvwkf",FALSE,0,FoxNewsInsider,11/18/2016 1:38,FALSE,7.99425E+17,7.99427E+17,147725246,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FAFPAC,1,FALSE,FALSE,NA,NA,-1
"@realDonaldTrump thinks #asbestos ""100% safe"" even though up to 15K die each yr from asbestos-caused disease: https://t.co/L3a20qoB6s",FALSE,0,realDonaldTrump,11/18/2016 1:38,FALSE,NA,7.99427E+17,25073877,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AlexFormuzis,0,FALSE,FALSE,NA,NA,0
"@puppymnkey @VaknightsK @realDonaldTrump Some read history, some of us were alive during the period, some of  us were there.",FALSE,1,puppymnkey,11/18/2016 1:38,FALSE,7.99426E+17,7.99426E+17,4917092018,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",fotoeffex,0,FALSE,FALSE,NA,NA,0
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:37,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",agraddi,14,TRUE,FALSE,NA,NA,0
RT @BretBaier: Senior Trump aide: President-elect @realDonaldTrump will meet w/ @MittRomney Saturday at Trump National Golf Club in Bedmins…,FALSE,0,NA,11/18/2016 1:37,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TRobArk,115,TRUE,FALSE,NA,NA,2
RT @politico: President Obama to @realDonaldTrump protesters: Don't be silent https://t.co/3PZ8wfOQC0 | Getty https://t.co/iHnCmaG7Ps,FALSE,0,NA,11/18/2016 1:37,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",beecils,103,TRUE,FALSE,NA,NA,1
