"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @john_dipaolo: @AmaliaDiaz93 @ahernandez85a @IbeleeveInUSA @Mona_Lina1 @realDonaldTrump @PhyllisA
Maybe SHE didn't win popular vote http…",FALSE,0,NA,2016-11-14 17:28:57,FALSE,NA,"798216160357453825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmaliaDiaz93",2,TRUE,FALSE,NA,NA
"@ABCPolitics @RespectPBJTime This is not a AL Gore loss. This is a yuge loss. @realDonaldTrump is most hated n unwanted POS.",FALSE,1,"ABCPolitics",2016-11-14 17:28:24,FALSE,"798210018105405441","798216022100541440","16815644","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trustthetruth16",0,FALSE,FALSE,NA,NA
"Humanity strikes back at @realDonaldTrump. Join the #WorldToTrump open letter that’s sweeping the planet! #Trump https://t.co/rSkhfMAnST",FALSE,0,NA,2016-11-14 17:22:09,FALSE,NA,"798214447999291392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ButterflySnrida",0,FALSE,FALSE,NA,NA
"@realDonaldTrump here stands the hateful values you promote, this is not America, you are not our president. https://t.co/9ar50Xfj3a",FALSE,0,"realDonaldTrump",2016-11-14 17:18:43,FALSE,NA,"798213585096687616","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NewAmericanFlag",0,FALSE,FALSE,NA,NA
"""Stop it."" - @realDonaldTrump, on intimidation of Latinos, Muslims and other groups.",FALSE,0,NA,2016-11-14 17:18:11,FALSE,NA,"798213452099555328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","peterdelevett",0,FALSE,FALSE,NA,NA
"@RepresentDotUs @scrowder @realDonaldTrump @RBReich @BernieSanders https://t.co/rSzOIqP4Uq",FALSE,0,"RepresentDotUs",2016-11-14 16:52:26,FALSE,NA,"798206969462915073","757316918","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VerankaV",0,FALSE,FALSE,NA,NA
"I hope this prediction is proven wrong and better angels will prevail within the @realDonaldTrump administration. b… https://t.co/H9zo7IC2Y3",FALSE,0,NA,2016-11-14 16:52:22,TRUE,NA,"798206954115977216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","srinivas_vs9",0,FALSE,FALSE,NA,NA
"RT @RagingHeretic: #Americans, it is your DUTY to resist and subvert .@realDonaldTrump's illegal and racist government if EC doesn't elect…",FALSE,0,NA,2016-11-14 16:48:14,FALSE,NA,"798205914713096192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xTHE_BUBSx",1,TRUE,FALSE,NA,NA
"Humanity strikes back at @realDonaldTrump. Join the #WorldToTrump open letter that’s sweeping the planet! #Trump https://t.co/4ojMY02FJx",FALSE,0,NA,2016-11-14 16:22:59,FALSE,NA,"798199560321437700",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","m_sanchez11",0,FALSE,FALSE,NA,NA
"Dear @realDonaldTrump: #StephenBannon, has no business in the White House. Please sign if you agree in equality:… https://t.co/RzZ9QESQae",FALSE,0,NA,2016-11-14 16:18:42,TRUE,NA,"798198481651273728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jejord",0,FALSE,FALSE,NA,NA
"Hey chief did u hear that? @realDonaldTrump https://t.co/kfubEBgTAR",FALSE,0,NA,2016-11-14 16:16:11,FALSE,NA,"798197846927233024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wormwoood_",0,FALSE,FALSE,NA,NA
"@aterkel @brianbeutler @Kenwardjr @realDonaldTrump is anyone keeping a handy running list of all the walk backs on promises?",FALSE,0,"aterkel",2016-11-14 16:09:41,FALSE,"798193467067351040","798196210779598848","15727317","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","halepete",0,FALSE,FALSE,NA,NA
"@cboehm @Kenwardjr @realDonaldTrump maybe they should be more knowledgeable about what is and isn't possible in regard to the jobs returning",FALSE,0,"cboehm",2016-11-14 16:07:35,FALSE,"798193616795607040","798195683505250304","14983792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ant0nTheGreat",0,FALSE,FALSE,NA,NA
"Australia discusses how it will react to @realDonaldTrump https://t.co/TfTQdY6yE5",FALSE,0,NA,2016-11-14 16:06:47,FALSE,NA,"798195482719682560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rickrow",0,FALSE,FALSE,NA,NA
"@SpeakerRyan @realDonaldTrump @TeamTrump @MitchMcConell AMERICANS who voted4Trump WANT Illegal CRIMINALS thrown OUT IMMEDIATELY! @Reince",FALSE,0,"SpeakerRyan",2016-11-14 16:03:49,FALSE,NA,"798194735571607552","18916432","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","toniludwig",0,FALSE,FALSE,NA,NA
"@realDonaldTrump @nytimes Just signed up for a new subscription and believe this will be our holiday gifts this year.",FALSE,0,"realDonaldTrump",2016-11-14 15:58:02,FALSE,"797805407179866112","798193282496925696","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","svdave",0,FALSE,FALSE,NA,NA
"@realDonaldTrump The more U respond to them the more they SELL their DISHONESTY! We are not stupid.We recognize THEIR divisiveness! @nytimes",FALSE,0,"realDonaldTrump",2016-11-14 15:52:22,FALSE,"797832229800050688","798191855422750725","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","toniludwig",0,FALSE,FALSE,NA,NA
"@realDonaldTrump Don't give them more FODDER to spout out about. That's all they have left. IGNORE THEM PLEASE! we ALL KNOW THEIR DISHONESTY",FALSE,0,"realDonaldTrump",2016-11-14 15:49:49,FALSE,"797832229800050688","798191213631283200","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","toniludwig",0,FALSE,FALSE,NA,NA
"@gingerbums @realDonaldTrump well he shouldn't get paid for the work he won't do  <U+263A>",FALSE,3,"gingerbums",2016-11-14 15:43:56,FALSE,"798184968622964737","798189731376865280","2561848352","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bdlcub",0,FALSE,FALSE,NA,NA
"@Worldofcraze @realDonaldTrump @CNN Now his son in law will work in WH. Family fleecing America. Pay to play, no real blind trust. Scam..",FALSE,0,"Worldofcraze",2016-11-14 15:43:10,FALSE,"798189209341280258","798189540947017728","36143907","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trustthetruth16",0,FALSE,FALSE,NA,NA
"@realDonaldTrump Don't be naïve &amp;align w people who did not support U.They will be moles who turn on U leak UR secrets! CAREFUL! @mike_pence",FALSE,0,"realDonaldTrump",2016-11-14 15:42:40,FALSE,NA,"798189411611512833","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","toniludwig",0,FALSE,FALSE,NA,NA
"#Americans, it is your DUTY to resist and subvert .@realDonaldTrump's illegal and racist government if EC doesn't elect @HillaryClinton",FALSE,0,NA,2016-11-14 15:33:19,FALSE,NA,"798187059009581056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RagingHeretic",1,FALSE,FALSE,NA,NA
"@realDonaldTrump @nytimes Told u they would never support u! Neither will anyone who was against U! IGNORE THEM! DON'T GIVE THEM MORE PRESS!",FALSE,0,"realDonaldTrump",2016-11-14 15:32:44,FALSE,"797832229800050688","798186912259313664","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","toniludwig",0,FALSE,FALSE,NA,NA
"@realDonaldTrump @60Minutes Lesley Stahl great job. Mr Trump very Presidential. but don't interfere w FBI probe into HRC. @mike_pence",FALSE,0,"realDonaldTrump",2016-11-14 15:29:05,FALSE,"797839801735114752","798185993438248961","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","toniludwig",0,FALSE,FALSE,NA,NA
"@realDonaldTrump how can u say u want to be the president of all Americans after key members of your staff are known bigots. Liar!",FALSE,0,"realDonaldTrump",2016-11-14 15:10:55,FALSE,NA,"798181423710552064","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tlc4070",0,FALSE,FALSE,NA,NA
"we can't trust one word out of @realDonaldTrump, untreatable, and unfit for office.. https://t.co/BxHuFim9AM",FALSE,0,NA,2016-11-14 15:09:00,FALSE,NA,"798180941860507648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NewAmericanFlag",0,FALSE,FALSE,NA,NA
"RT @MyVoteTodayUSA: #DonaldTrump @realDonaldTrump will take over as @POTUS in the first week of January; will he scrap #Obamacare in Jan it…",FALSE,0,NA,2016-11-14 15:04:02,FALSE,NA,"798179692192772097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MyVoteTodayFC",39,TRUE,FALSE,NA,NA
